title,price,rating,rating_distribution,link
Procesor AMD Ryzen 3 PRO 3200G 3.6GHz MPK,"899,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-3-pro-3200g-36ghz-mpk/
Procesor AMD Ryzen 5 5600 3.5GHz tray,"920,78 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-5-5600-35ghz-tray/
Procesor AMD Ryzen 5 5500 3.6GHz MPK,"979,30 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-5-5500-36ghz-mpk/
Procesor AMD Ryzen 5 PRO 3400G 3.7GHz MPK,"999,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-5-pro-3400g-37ghz-mpk/
Procesor AMD Ryzen 3 4100 3.8GHz MPK,"999,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-3-4100-38ghz-mpk/
"Procesor Intel Comet Lake, Core i3 10320 3.8GHz box","1.004,94 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/comet-lake-core-i3-10320-38ghz-box/
Procesor AMD Ryzen 5 7500F 5.0GHz MPK,"1.006,13 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-5-7500f-50ghz-mpk/
"Procesor Intel Alder Lake, Core i5 12400F 2.5GHz tray","1.031,53 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/intel/alder-lake-core-i5-12400f-25ghz-tray/
Procesor AMD Ryzen 3 PRO 4350G 3.8GHz MPK,"1.062,39 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-3-pro-4350g-38ghz-mpk/
Procesor AMD Ryzen 5 4500 3.6GHz MPK,"1.099,99 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-5-4500-36ghz-mpk/
Procesor AMD Ryzen 7 8700F 4.1 GHz tray,"1.131,15 RON",N/A,{'error': 'Rating distribution not found'},https://www.pcgarage.ro/procesoare/amd/ryzen-7-8700f-41-ghz-tray/
"Procesor Intel Comet Lake, Core i5 10600KF 4.1GHz box","1.144,18 RON",5,{5: 9},https://www.pcgarage.ro/procesoare/intel/comet-lake-core-i5-10600kf-41ghz-box/
